,x,y,p,z
0,0.7170464240988567,0.6895779832154336,0.5311362743950686,0.7582586235517416
1,0.7408749101497981,0.6818264323668901,0.5241973437968901,0.6409710012619854
2,0.6991851000088899,0.9531342295018601,0.23500847318464838,0.5617134335786186
3,0.6667534324106111,0.931660755133062,0.26677330837766117,0.5216727844413854
4,0.6398457503203974,1.2598717354585791,0.20753412415368455,0.4767803740727587
5,0.6307463415864132,0.5986431332974653,0.16304962411647514,0.4302766210907823
6,0.6328373844505055,-0.05658283085267651,0.20337513906956556,0.39415534638938526
7,0.6243651578815249,0.2816310069140622,0.19769743582588942,0.3952873730088494
8,0.5821694942492026,-0.24487354397314423,0.25263502456514053,0.37784099050446834
9,0.6125917175300003,0.17636057700479593,0.10750937721570615,0.34613776935972923
10,0.5976861794737706,0.0006367180923347315,0.13233147005832974,0.3076415354506922
11,0.604042170920699,-0.6554985007320473,0.11148470048054311,0.3017739303366118
12,0.6055958075817757,-0.19011230858397446,0.0487778238740585,0.29845628543634883
13,0.5797941095052632,0.35094991581853324,0.1401758010313382,0.30895760360753005
14,0.5820789812799736,-0.09652137131640036,0.06473995052439675,0.3032212499854735
15,0.5732474147398949,-0.18696727867676954,0.06111249868527671,0.3022054665004208
16,0.5709330310806431,0.37104703255071714,0.04112172272838908,0.2897241539482305
17,0.5707023738062946,0.21686863437086276,0.08133222258177941,0.30602356036062617
18,0.5564993381581151,-1.3066459872346465,0.11154450888796016,0.2890152421451889
19,0.5813971982155623,0.13789112195154385,0.05878413572206735,0.2869386174154131
20,0.5666892510699615,0.8235221758388558,0.03783216893216286,0.2772658103856346
21,0.5609224928225879,-0.5418202868120869,0.12007626056779441,0.2611558051673521
22,0.5607252129358691,0.7669461988986225,0.028403955694310236,0.26694052000472057
23,0.5649192172437455,0.43414658504224496,0.016538824024144444,0.2748749347200999
24,0.578037229697491,-0.11160783961067994,0.049276899138952,0.26355160637743175
25,0.5446002183058679,-0.5974826290613622,0.05586373124566628,0.2459669234380941
26,0.5814961888734768,0.41796053452168175,-0.009088406899969356,0.25190505137487224
27,0.5651237550227147,0.017014019125414698,0.055170125902560006,0.25985731770188647
28,0.5694877772974924,0.7439469245317073,0.023101563986990113,0.27060043322950045
29,0.5670140825969096,0.34760451004559667,0.053799873664926626,0.2690873285088443
30,0.5772129844943547,-0.47247693758883214,0.12502002687088148,0.2769839586358727
31,0.5656702346305267,-1.2465232830291018,0.06028047679706825,0.2690872099486281
32,0.5733808978221268,0.9319093596537791,0.018141470225673167,0.2586648567692415
33,0.5674250271121241,-0.3459750729904842,0.028254176281021386,0.2631346332505071
34,0.5806248819135681,0.42562998374711664,0.058754175461698546,0.27088354243625656
35,0.5589468293490342,-0.23352542676904392,0.04718848561540728,0.2674958609938239
36,0.5475805403934032,-0.5541061765213942,0.16264797988411295,0.2652564812408729
37,0.5708228245893368,-0.456245288943626,0.11226243778196811,0.2668761509262853
